"ID.point","Station","Date","Long","Lat","Elevation","CE","DQO","OD","pH","SST","T.","Turb","NT","PT"
19957,27958,"11/3/2011 ",-75.239,8.313722222222,27.015,118.5,260,5.7,7.16,39,29.2,47,0.5,0.09
19958,27815,"11/3/2011 ",-73.128055555556,6.546666666667,1113,67,10,7.2,6.72,41,21.7,27,0.5,0.05
19959,27722,"12/3/2011 ",-74.086305555556,10.755777777778,60,67.3,10,6,7.65,4.5,29.7,2,0.5,0.05
19960,27799,"13/3/2011 ",-74.154111111111,10.905416666667,30,72.2,10,6.1,7.25,4.5,27.1,2,0.5,0.07
19961,27899,"13/3/2011 ",-74.146333333333,10.635916666667,60,58.3,10,8,7.38,8.3,30.2,4.1,0.5,0.07
19962,27892,"14/3/2011 ",-75.149666666667,2.921111111111,650,140.7,10,8,7.84,27,22.3,20,0.5,0.09
20014,29876,"14/3/2011 ",-75.417333333333,7.987972222222,39.97,109.3,270,6.5,7.42,220,27.6,270,0.5,0.3
20015,27846,"16/3/2011 ",-75.396583333333,2.755555555556,460,144,10,4.9,6.9,24,25.4,72,0.5,0.13
20016,27808,"13/3/2011 ",-73.7325,9.193194444444,28.32,225,25,7.2,6.44,28,31.6,44,0.5,0.25
20017,8803,"15/3/2011 ",-75.37125,2.566722222222,740,145.1,10,6.6,8.18,96,24,34,0.5,0.3
20018,27609,"16/3/2011 ",-73.646388888889,9.648527777778,45,435,17,5.2,6.6,110,29.1,100,1.2,0.45
20019,27908,"17/3/2011 ",-75.544305555556,2.643805555556,575,144.2,10,7.1,7.24,17,24,31,0.5,0.11
20020,27711,"17/3/2011 ",-74.661916666667,5.469222222222,172.17,194,22,5.8,7.2,360,27.2,240,0.96,1.1
20021,8575,"17/3/2011 ",-74.651305555556,5.740916666667,147,408,88,6.7,8.03,1910,27.5,1030,4.8,3.5
20022,27748,"16/3/2011 ",-68.354166666667,3.986111111111,94,63.5,10,6.5,7.13,24,29.4,26,0.5,0.08
20023,8573,"18/3/2011 ",-74.586111111111,6.206944444444,120,49.1,10,7,7.48,35,26.8,25,0.5,0.14
20024,8566,"18/3/2011 ",-74.664972222222,5.772194444444,143,37,66,7.1,7.22,1390,23.5,540,2.2,1.2
20025,19680,"18/3/2011 ",-75.269194444444,3.176777777778,400,120.6,74,6.7,7.36,1300,25.2,630,2.5,1.2
20026,8542,"18/3/2011 ",-75.332944444444,2.766694444444,469,160.1,10,7.1,7.38,210,23.1,80,0.5,0.55
20027,19678,"19/3/2011 ",-75.12075,3.433611111111,382,156.9,10,7,7.85,24,26.2,35,0.5,0.07
20028,27423,"19/3/2011 ",-75.118944444444,3.44325,340.273,142.3,18,6.7,7.59,250,26.7,200,0.5,0.3
20029,19681,"20/3/2011 ",-76.145972222222,1.870472222222,1217,103.9,10,6.9,7.85,12,22.9,12,0.5,0.16
20035,8891,"18/3/2011 ",-77.292944444444,1.234333333333,2500,353,130,3.5,6.2,69,15.8,57,22,2.1
20036,27668,"18/3/2011 ",-77.247777777778,1.201388888889,2740,81,10,6.9,8.1,15,18.7,9.45,0.5,0.05
20037,8860,"22/3/2011 ",-74.368888888889,6.635833333333,98,50.5,55,7,7.33,640,24.8,450,1.7,0.6
20038,19682,"22/3/2011 ",-74.103333333333,6.778055555556,81,251,96,6,7.85,2050,26.4,1060,5,2.8
20039,8576,"22/3/2011 ",-73.889194444444,6.994138888889,73,198,87,5.4,7.79,1940,26.5,1290,3.8,2.6
20040,19677,"21/3/2011 ",-75.669888888889,2.1735,761,82.8,71,7,7.66,630,22.1,470,2.9,0.95
20041,8774,"21/3/2011 ",-75.648555555556,2.232361111111,710,91.2,83,7.2,7.77,910,21.3,440,2.7,1.5
20042,19676,"22/3/2011 ",-75.570361111111,2.461722222222,611,111.2,52,7.4,7.58,750,21.3,420,1.4,1.2
20044,19674,"23/3/2011 ",-74.891055555556,3.994555555556,298,119.3,120,7.3,7.9,4110,28.4,2240,4,3.6
20045,27856,"19/3/2011 ",-77.147194444444,1.135222222222,2795,43.5,10,7,6.6,4.5,17.3,2,0.5,0.05
20046,27940,"19/3/2011 ",-77.157222222222,0.989722222222,2850,48.1,13,7.2,7.05,4.5,17.4,2,0.5,0.05
20048,27586,"21/3/2011 ",-77.985138888889,1.206083333333,1259,69.1,12,7.4,7.64,34,15,26,0.5,0.05
20049,8586,"23/3/2011 ",-73.915833333333,7.211111111111,68,117.9,110,6.8,8.15,2900,23.5,2840,3.9,2.3
20050,8559,"23/3/2011 ",-73.923888888889,7.4675,70,158.1,28,6,7.53,240,28.1,230,0.63,0.4
20051,27859,"24/3/2011 ",-73.801916666667,7.784,58.001,193.9,150,5.6,7.93,2170,26.9,1570,6.3,2.9
20052,19675,"24/3/2011 ",-74.93625,3.804638888889,308,57.2,22,4.8,6.63,32,25.4,97,0.5,0.19
20053,27737,"24/3/2011 ",-74.935733333333,3.84945,291.249,113,42,6.6,7.45,1050,26.5,520,1.4,1.2
20054,27589,"24/3/2011 ",-73.675472222222,2.974222222222,318,67.5,21,6.1,7.32,83,24,65,0.62,0.21
20058,27789,"25/3/2011 ",-73.820805555556,8.666333333333,35.385,186.1,84,5.2,7.83,1840,27.8,1470,3.3,1.6
20059,8876,"25/3/2011 ",-74.744444444444,4.248055555556,345,42.1,70,6.2,6.91,1690,24.8,930,1.6,1.7
20060,27717,"25/3/2011 ",-74.833333333333,4.3,425,484,110,3.2,7.34,760,23.6,460,11,2.5
20061,27548,"26/3/2011 ",-74.838166666667,4.387861111111,251.79,146,57,6.7,7.71,1090,25.4,520,1.5,1.2
20062,19673,"26/3/2011 ",-74.894027777778,4.288527777778,288,177.4,65,6.9,7.99,1750,25.4,700,1.4,2.4
20063,8584,"26/3/2011 ",-74.735277777778,9.150833333333,7,163.7,16,5.8,7.53,23,31.1,42,0.5,0.06
20064,27858,"26/3/2011 ",-74.605638888889,9.016527777778,19.949,175.4,33,5.6,7.54,730,28.8,520,1.4,0.78
20065,27583,"27/3/2011 ",-74.880555555556,4.537333333333,350,267,33,6.8,8.11,110,26.3,96,1.3,0.36
20066,27872,"27/3/2011 ",-74.815388888889,9.493583333333,14,186.2,13,5.9,7.63,480,29.8,400,0.88,0.65
20070,27926,"24/3/2011 ",-75.88275,4.892333333333,900.442,155,18,4.8,7.41,300,23.7,360,0.5,0.32
20072,27769,"25/3/2011 ",-73.065277777778,10.827222222222,275,62.9,10,6.2,7.11,4.5,22.4,20,0.5,0.05
20073,27574,"28/3/2011 ",-75.567361111111,2.463444444444,662.477,110.7,120,8.1,7.63,150,21.7,120,0.5,0.34
20074,27556,"28/3/2011 ",-75.761555555556,2.45925,788.06,125.1,10,7.8,7.76,62.5,20.4,53.5,0.5,0.12
20075,19672,"27/3/2011 ",-74.818027777778,4.612027777778,269,165.2,10,6.5,7.74,64,28.5,38,0.5,0.17
20076,27686,"28/3/2011 ",-74.911694444444,10.253861111111,8.006,185.4,23,5.5,7.52,820,29.7,600,1.2,0.7
20077,19671,"29/3/2011 ",-74.772555555556,4.773416666667,243,138.6,10,6.9,7.46,150,26,74,0.5,0.13
20078,29866,"29/3/2011 ",-74.709111111111,5.200722222222,203.481,159.8,23,5.9,7.48,568,28.3,320,1.1,0.71
20079,29877,"29/3/2011 ",-74.816666666667,11.033333333333,1,189.1,18,5.8,7.56,690,29.4,510,0.99,1.3
20080,27937,"29/3/2011 ",-76.644333333333,2.467555555556,1626,141.6,30,7.7,6.8,160,19.8,62,1.4,0.36
